id,start_id,end_id,direction,start_name,start_coordinate,end_name,end_coordinate,bus_lines,start_lon,start_lat,end_lon,end_lat
1512,3232,3233,1,DUBOIS,"4.311353, 50.851463",TAMARIS,"4.307562, 50.851039","86, 87",4.3113529999999995,50.851463,4.307562,50.851039
1513,3233,3234,1,TAMARIS,"4.307562, 50.851039",MACHTENS,"4.300802, 50.851314",86,4.307562,50.851039,4.300802,50.851314
1514,3234,3238,2,MACHTENS,"4.300802, 50.851314",CONDOR,"4.307222, 50.852395",86,4.300802,50.851314,4.307222,50.852395
1515,3238,3252,2,CONDOR,"4.307222, 50.852395",TAMARIS,"4.307675, 50.850913","86, 87",4.307222,50.852395,4.307675,50.850913
1516,3252,3281,2,TAMARIS,"4.307675, 50.850913",DUBOIS,"4.31168, 50.851356","86, 87",4.307675,50.850913,4.31168,50.851356
1517,3281,3282,2,DUBOIS,"4.31168, 50.851356",JOSEPH BAECK,"4.316437, 50.852036","86, 87",4.31168,50.851356,4.3164370000000005,50.852036
1518,3282,3253,2,JOSEPH BAECK,"4.316437, 50.852036",GARE DE L'OUEST,"4.321694, 50.848843",86,4.3164370000000005,50.852036,4.321694,50.848843
1519,3253,3257,2,GARE DE L'OUEST,"4.321694, 50.848843",QUATRE-VENTS,"4.32601, 50.849177",86,4.321694,50.848843,4.32601,50.849177000000005
1520,3257,4595,2,QUATRE-VENTS,"4.32601, 50.849177",DUCHESSE BRABANT,"4.330322, 50.849457",86,4.32601,50.849177000000005,4.330322,50.849457
1521,4595,1242,2,DUCHESSE BRABANT,"4.330322, 50.849457",ELEPHANT,"4.3335, 50.851954",86,4.330322,50.849457,4.3335,50.851954
1522,1242,6754,2,ELEPHANT,"4.3335, 50.851954",BORNE,"4.335549, 50.854151",86,4.3335,50.851954,4.335548999999999,50.854151
1523,6754,6755,2,BORNE,"4.335549, 50.854151",COMTE DE FLANDRE,"4.338104, 50.856013",86,4.335548999999999,50.854151,4.338104,50.856013
1524,6755,4253,2,COMTE DE FLANDRE,"4.338104, 50.856013",RIBAUCOURT,"4.341493, 50.859888",86,4.338104,50.856013,4.341493,50.859888
1525,4253,1670,2,RIBAUCOURT,"4.341493, 50.859888",SUZAN DANIEL,"4.347176, 50.863052",86,4.341493,50.859888,4.347176,50.863052
1526,1670,1356,2,SUZAN DANIEL,"4.347176, 50.863052",TOUR ET TAXIS,"4.350999, 50.865586",86,4.347176,50.863052,4.350999,50.865586
1527,4258,4266,2,POUCHKINE,"4.344064, 50.871076",NEKKERSDAL,"4.346915, 50.874191","86, 88",4.344064,50.871076,4.346915,50.874190999999996
1528,4266,4127,2,NEKKERSDAL,"4.346915, 50.874191",BOCKSTAEL,"4.34835, 50.87572","86, 88",4.346915,50.874190999999996,4.34835,50.87572
1529,4127,2558,2,BOCKSTAEL,"4.34835, 50.87572",BOCKSTAEL,"4.347326, 50.877697",86,4.34835,50.87572,4.347326,50.877697
1530,4014,3231,1,BEEKKANT,"4.323354, 50.854243",JOSEPH BAECK,"4.316237, 50.852158",87,4.323354,50.854243,4.316237,50.852158
1531,3233,3239,1,TAMARIS,"4.307562, 50.851039",CONDOR,"4.307324, 50.852694",87,4.307562,50.851039,4.3073239999999995,50.852694
1532,3239,3235,1,CONDOR,"4.307324, 50.852694",CANDRIES,"4.306405, 50.855659",87,4.3073239999999995,50.852694,4.306405000000001,50.855659
1533,3235,3236,1,CANDRIES,"4.306405, 50.855659",THYM,"4.303529, 50.856905",87,4.306405000000001,50.855659,4.303529,50.856905
1534,3236,4653,1,THYM,"4.303529, 50.856905",HOOGBOSCH,"4.298467, 50.855484",87,4.303529,50.856905,4.298467,50.855484000000004
1535,4653,4655,1,HOOGBOSCH,"4.298467, 50.855484",ELBERS,"4.294973, 50.855293",87,4.298467,50.855484000000004,4.294973000000001,50.855292999999996
1536,4655,4656,1,ELBERS,"4.294973, 50.855293",CIMETIERES,"4.289902, 50.856278",87,4.294973000000001,50.855292999999996,4.289902,50.856278
1537,4656,4657,1,CIMETIERES,"4.289902, 50.856278",MARICOLLES,"4.288191, 50.86025",87,4.289902,50.856278,4.288191,50.86025
1538,4657,4661,1,MARICOLLES,"4.288191, 50.86025",BROEK,"4.286893, 50.863333",87,4.288191,50.86025,4.286893,50.863333000000004
1539,1193,1195,1,SEPT ETOILES,"4.284473, 50.865548",HUNDERENVELD,"4.281332, 50.866943",87,4.284473,50.865548,4.281332,50.866943
1540,1195,1196,1,HUNDERENVELD,"4.281332, 50.866943",PARC MONNET,"4.288799, 50.869753",87,4.281332,50.866943,4.288799,50.869753
1541,1196,4059,1,PARC MONNET,"4.288799, 50.869753",BERCHEM-SHOPPING,"4.291299, 50.870405",87,4.288799,50.869753,4.2912989999999995,50.870405
1542,4059,2864,1,BERCHEM-SHOPPING,"4.291299, 50.870405",GARE DE BERCHEM,"4.290775, 50.872448",87,4.2912989999999995,50.870405,4.290775,50.872448
