lineId,directionId,pointId,(avg(speed) * 3.6),count,local_time
38,1000,4367,16.025652971729684,4,2025-06-28 19:45:00
71,2596,4367,11.386201731194486,11,2025-06-28 19:45:00
80,4952,4367,9.361389007276038,2,2025-06-28 19:45:00
95,1781,4367,15.836658744792986,6,2025-06-28 19:45:00
71,3520,5407,20.346217707509414,6,2025-06-28 19:45:00
38,1000,6112,7.741223686094564,4,2025-06-28 19:45:00
54,1780,6112,11.197954719618167,4,2025-06-28 19:45:00
60,1425,6112,8.8958764350902,1,2025-06-28 19:45:00
34,4952,6432,32.811577965030345,2,2025-06-28 19:45:00
38,1000,6432,5.089061376534904,3,2025-06-28 19:45:00
64,4952,6432,12.392093468569497,3,2025-06-28 19:45:00
71,2596,6432,17.17236534903743,12,2025-06-28 19:45:00
80,4952,6432,16.865906715661847,4,2025-06-28 19:45:00
95,1781,6432,7.545393332636234,2,2025-06-28 19:45:00
34,9978,6433,12.710691854432566,1,2025-06-28 19:45:00
38,4076,6433,8.746539486990898,2,2025-06-28 19:45:00
54,1780,6433,10.343933817846892,1,2025-06-28 19:45:00
64,3134,6433,6.117080791029089,3,2025-06-28 19:45:00
80,9946,6433,6.747174398773987,1,2025-06-28 19:45:00
95,4318,6433,7.888628212264014,4,2025-06-28 19:45:00
64,4952,1162,15.71083077006627,2,2025-06-28 20:00:00
34,9978,1233,7.253947457447142,4,2025-06-28 20:00:00
38,4076,1233,23.427326308531278,3,2025-06-28 20:00:00
54,1780,1233,17.56866898098646,7,2025-06-28 20:00:00
80,9946,1233,15.43353957024174,5,2025-06-28 20:00:00
95,4318,1233,11.49129577977631,15,2025-06-28 20:00:00
34,4952,1278,19.543461742355365,3,2025-06-28 20:00:00
59,3130,1280,7.390537968934978,2,2025-06-28 20:00:00
64,3130,1654,14.083691185176118,3,2025-06-28 20:00:00
34,9978,1706,32.624955486100696,1,2025-06-28 20:00:00
80,9946,1706,16.74551553933575,2,2025-06-28 20:00:00
34,9978,1712,14.140301677788049,3,2025-06-28 20:00:00
34,9978,1713,14.970938327955409,4,2025-06-28 20:00:00
34,9978,1714,36.601786940899025,1,2025-06-28 20:00:00
34,9978,1715,13.842427123171293,3,2025-06-28 20:00:00
34,9978,1728,14.625166407922377,2,2025-06-28 20:00:00
